iteration	score	delta	hypothesis	outcome
001	91.22	49.40	Initial rules for all 5 stages	kept
002	91.28	0.06	Consolidate Transport NSW variants into single payee	kept
003	91.42	0.14	Always apply smart title case to fix 45 case-variant clusters	kept
004	91.69	0.27	Strip EFTPOS receipts, Visa Debit prefix, card digits suffix	kept
005	92.17	0.48	Banking identity mappings (BPAY, online payment, IFTTT) + merchant consolidation (Beem It, Aussie BB)	kept
006	92.24	0.07	Fix PTY LTD stripping (mid-string) + internal account transfers (Xx payees)	kept
007	92.42	0.18	Merchant consolidation: Edition Roasters, Hero Sushi, Vodafone, Uber, McDonalds, etc	kept
008	92.61	0.19	More merchants (Revolut, Canva, Kim Sun, Sephora, Uniqlo etc) + person memo stripping	kept
009	92.80	0.19	Fix classifications (BPAY, loan, interest) + chain consolidation + joint account mapping	kept
010	92.85	0.05	Utilities consolidation (Strathfield Council, Sydney Water, EnergyAustralia) + more chains	kept
011	92.87	0.02	Fix case variants (Netflix, Powershop) + more merchant consolidation (Microsoft, Scan QR)	kept
012	92.87	0.00	Add supplementary long-tail metrics to measure.py (diagnostic only)	kept
013	92.94	+0.07	Uppercase normalisation + IGNORECASE regexes in stage1	kept
014	92.95	+0.01	Stage repetition (stages 1 and 5, max 5 repeats)	kept
015	92.98	+0.03	PTY LTD, state+postcode, digit run suffixes in stage1	kept
016	92.98	+0.00	Stage 5 trailing noise (VISA, BANK, etc.) + state uppercase_exceptions	kept
017	92.98	+0.00	Title prefix stripping (MR/MRS/MS/DR)	discarded — MR YUM false positive
018	92.98	+0.00	Build + run Rust clusterer (113 clusters found, diagnostic)	kept
019	93.01	+0.03	Suburb truncation expansions from cluster output	kept
020	93.02	+0.01	Word truncation expansions from cluster output	kept
021	93.04	+0.02	Leading date prefix + leading asterisk stripping	kept
022	93.17	+0.13	Merchant consolidation from cluster output (80 new rules)	kept
023	93.19	+0.02	Fix remaining cluster misses (Duo, Cornerstone, West Ryde, Greenaway)	kept
024	93.23	+0.04	Final cluster cleanup (CommInsure, Intl Txn Fee, Papparich, ATM, etc.)	kept
025	93.23	+0.00	Truncated-location prefix dedup in stage5 (word[i] prefix of word[i+1])	kept
026	93.24	+0.01	Gateway prefix stripping (EFTPOS, EZI*, DNH*, PP*, LIGHTSPEED*, LIME*, EB*)	kept
